paper_id,title,year,journal,abstract,your_decision,your_confidence,your_rationale
74d9366292a89c8a,Diagnostic Performance and Cost-Efficiency of Large Language Models in Secondary Hypertension: A Blinded Comparative Study,2026,Preprints.org,"Background/Objectives: Secondary hypertension requires complex diagnostic reasoning and guideline-based management, posing challenges for artificial intelligence–based clinical decision-support systems. This study aimed to comparatively evaluate the performance of three large language models (LLMs) in diagnostic reasoning, clinical management, follow-up planning, and patient-oriented communication related to secondary hypertension. Methods: In this cross-sectional blinded study, three LLMs (Chat",,,
18e58597f96b15fc,Risk assessment and management of generative AI systems,2025,"Generative AI for Multimedia Content Processing, Security and Privacy",,,,
7d6e78c77de98e80,ETHICAL IMPLICATIONS OF AI IN FINANCIAL DECISION – MAKING: A REVIEW WITH REAL WORLD APPLICATIONS,2024,International Journal of Applied Research in Social Sciences,"This study delves into the ethical implications of Artificial Intelligence (AI) in financial decision-making, exploring the transformative impact of AI technologies on the financial services sector. Through a comprehensive literature review, the research highlights the dual nature of AI's integration into finance, showcasing both its potential to enhance operational efficiency and decision accuracy and the ethical challenges it introduces. These challenges include concerns over data privacy, alg",,,
199a3fe70707c82c,Artificial intelligence and real-world data for drug and food safety – A regulatory science perspective,2023,Regulatory Toxicology and Pharmacology,"In 2013, the Global Coalition for Regulatory Science Research (GCRSR) was established with members from over ten countries (www.gcrsr.net). One of the main objectives of GCRSR is to facilitate communication among global regulators on the rise of new technologies with regulatory applications through the annual conference Global Summit on Regulatory Science (GSRS). The 11th annual GSRS conference (GSRS21) focused on ""Regulatory Sciences for Food/Drug Safety with Real-World Data (RWD) and Artificia",,,
f48d3feb8e55577a,Machine Learning Approaches for Evaluating the Progress of Surgical Training on a Virtual Reality Simulator,2024,Applied Sciences,"Automated assessment of surgical skills is crucial for the successful training of junior surgeons. Twenty-three medical students followed a structured training curriculum on a laparoscopic virtual reality (VR) simulator. Three surgical tasks with significant educational merit were considered (Tasks 5, 6, and 7). We evaluated seven machine learning (ML) models for classifying the students’ trials into two and three classes based on the progress of training (Beginning vs. End and Beginning vs. Mid",,,
36ab205da24ae224,"""I'm categorizing LLM as a productivity tool"": Examining ethics of LLM use in HCI research practices",2024,arXiv (Cornell University),"Large language models are increasingly applied in real-world scenarios, including research and education. These models, however, come with well-known ethical issues, which may manifest in unexpected ways in human-computer interaction research due to the extensive engagement with human subjects. This paper reports on research practices related to LLM use, drawing on 16 semi-structured interviews and a survey conducted with 50 HCI researchers. We discuss the ways in which LLMs are already being ut",,,
b5776edce32d03f9,An Ontological Approach for Early Detection of Suspected COVID-19 among COPD Patients,2021,Applied System Innovation,"Recent studies on chronic obstructive pulmonary disease (COPD) patients in the context of the coronavirus 19 (COVID-19) pandemic have reported two important problems, i.e., high mortality and vulnerability among COPD patients vs. non-COPD patients. The high number of deaths are caused by exacerbations, COVID-19, and other comorbidities. Therefore, the purpose of this article is to reduce the risk factors of COPD in the COVID-19 context. In this article, we propose approaches based on adaptation ",,,
2eee608a50437949,ChatGPT-Aided Education Teaching,2024,2024 6th International Conference on Computer Science and Technologies in Education (CSTE),,,,
e1151bc0cef38a2c,A systematic review of technology acceptance models and theories in construction research,2023,Journal of Information Technology in Construction,"Technology use in the construction industry fosters improvements in schedule, safety, cost, productivity, and quality. In this domain, the construction technologies adoption highly depends on stakeholders, who may exhibit some resistance to operational use. This underscores the importance of determining technology integration success using effective methods such as predictive and explanatory modelling. Although existing literature has provided some critical insight into the use of these models a",,,
3529b435d7e9f168,Wesam Al Attar singularity evaluation: a simulation-based framework for sports injury risk assessment using critical transitions theory.,2025,,"<h4>Background</h4>Sports injury prediction remains a significant challenge in sports medicine, with traditional approaches often failing to capture the complex, nonlinear nature of injury mechanisms. Critical transitions theory, which describes sudden shifts in complex systems, offers a new theoretical framework for understanding injury occurrence as a transition from stable to unstable biomechanical states.<h4>Objective</h4>To develop and validate through simulation the Wesam Al Attar Singular",,,
2f07409e681517ec,Proceedings of the Second DialDoc Workshop on Document-grounded Dialogue and Conversational Question Answering,2022,,"Computing Science at the University of Glasgow where he leads the Glasgow Representation and Information Learning Lab (GRILL) (https://grilllab.ai). His research focuses on text understanding and conversational information seeking. He completed his Ph.D. at the University of Massachusetts Amherst in the Center for Intelligent Information Retrieval. Later in Google Research, he worked on Information Extraction as part of the Knowledge Discovery Team (Knowledge Vault) and on language understanding",,,
1b2728123d9bda45,CHATGPT COMO FERRAMENTA EDUCACIONAL: VANTAGENS E DESVANTAGENS PARA A FORMAÇÃO DE FUTUROS PROFISSIONAIS DE ADMINISTRAÇÃO,2025,Revista Científica SOL21 -  Standard Open Literature,"O presente estudo analisa os impactos da difusão do acesso às plataformas de modelos de linguagem na educação, com ênfase no Ensino Superior, a partir da Inteligência Artificial (IA) generativa no campo das humanidades digitais. A pesquisa aborda questões metodológicas e substantivas relacionadas ao plágio, ao desenvolvimento crítico e à criatividade na produção textual contemporânea. Trata-se de uma pesquisa qualitativa e exploratória, criada de revisão bibliográfica, que visa compreender como ",,,
56f46cbe2d525ebf,One size does not fit all: a support vector machine exploration of multiclass cognitive state classifications using physiological measures,2025,Frontiers in Neuroergonomics,"<h4>Introduction</h4>This study aims to develop and evaluate support vector machines (SVMs) learning models for predicting cognitive workload (CWL) based on physiological data. The objectives include creating robust binary classifiers, expanding these to multiclass models for nuanced CWL prediction, and exploring the benefits of individualized models for enhanced accuracy. Cognitive workload assessment is critical for operator performance and safety in high-demand domains like aviation. Traditio",,,
6a9bccecef748b25,Fairness of ChatGPT,2023,arXiv (Cornell University),"Understanding and addressing unfairness in LLMs are crucial for responsible AI deployment. However, there is a limited number of quantitative analyses and in-depth studies regarding fairness evaluations in LLMs, especially when applying LLMs to high-stakes fields. This work aims to fill this gap by providing a systematic evaluation of the effectiveness and fairness of LLMs using ChatGPT as a study case. We focus on assessing ChatGPT's performance in high-takes fields including education, crimino",,,
e3165b27af1850f5,Emotional processing Traitement des émotions,2024,,,,,
a6fe0f2f03d815d3,Providing Load Flexibility by Reshaping Power Profiles of Gpu Clusters Running Large Language Model Workloads,2025,,,,,
0370a9654f8756a5,Leveraging large language models for enhanced simulation-based learning in police and law enforcement,2025,Policing A Journal of Policy and Practice,"Abstract In this study, the application of Large Language Models (LLMs) in simulation-based training of law enforcement officers is being assessed. Adaptability, real-time response capabilities and dynamic and personalised learning experiences, which closely simulate real-life policing scenarios, are the hallmarks of LLMs. LLMs adjust scenarios according to trainee input to enhance learning engagement, facilitate better decision-making, and improve skill retention. Finally, the study shows how L",,,
87ff9a42a80f914f,"Artificial Intelligence in Medical Education, Advantages and Prospects",2023,Virtual Technologies in Medicine,"Artificial intelligence, or AI, is gaining momentum across industries, and simulation-based learning is no exception. AI has the ability to quickly collect and process information, while machine learning learns and adapts to the user, improving performance over time. Artificial intelligence has the potential to simplify and systematize the learning process. But what are its advantages and prospects for use in our time?",,,
278733ccb1e8b0f6,Response to: Investigating the impact of innovative <scp>AI</scp> chatbot on post‐pandemic medical education and clinical assistance: a comprehensive analysis,2023,ANZ Journal of Surgery,"We are grateful for the thoughtful commentary provided by Kleebayoon and Wiwanitkit on our recent article published in the ANZ Journal of Surgery.1 While we welcome this scholarly engagement, we find it imperative to address their concerns in order to elucidate the robustness of our study's design, methodology, and findings. First, the concern regarding the sample size and scope appears to overlook our study's qualitative nature, aimed at understanding the foundational capabilities of large lang",,,
3fda1cbdc05668e3,ChatGPT y su impacto en la formación de competencias en terapeutas ocupacionales: una reflexión sobre la integridad académica,2023,Cadernos Brasileiros de Terapia Ocupacional,"Resumen El acceso público a la inteligencia artificial y específicamente el ChatGPT está presentando desafíos y retos en la formación profesional de los terapeutas ocupacionales. En este contexto, este ensayo busca describir el impacto de la inteligencia artificial, con énfasis en el ChatGPT, en la formación de terapeutas ocupacionales y proponer estrategias para integrar estas tecnologías en la educación superior desde una perspectiva integradora, ética y acorde a los valores y principios de la",,,
ee0c717e848ba2d0,"Evaluating the Accuracy and Reliability of Large Language Models (ChatGPT, Claude, DeepSeek, Gemini, Grok, and Le Chat) in Answering Item-Analyzed Multiple-Choice Questions on Blood Physiology",2025,Cureus,"Background Previous research has highlighted the potential of large language models (LLMs) in answering multiple-choice questions (MCQs) in medical physiology. However, their accuracy and reliability in specialized fields, such as blood physiology, remain underexplored. This study evaluates the performance of six free-to-use LLMs (ChatGPT, Claude, DeepSeek, Gemini, Grok, and Le Chat) in solving item-analyzed MCQs on blood physiology. The findings aim to assess their suitability as educational ai",,,
5e2facbac17c6b2b,Challenges to Medical Education on Surgical Services During the COVID-19 Pandemic,2020,Medical Science Educator,,,,
44fdf1229f595c0f,Unleashing the Power of the Right Brain.,2023,,"We envision a paradigm shift where our profession no longer follows but leads the charge to develop a whole mind approach in our pharmacists. Left brain skills remain critical but are no longer sufficient to combat the current threats of abundance, automation, and outsourcing within the pharmacy landscape. It is vital that pharmacists be skilled problem solvers and empathizers. We must capitalize on characteristics that make pharmacists essential while innovating new opportunities and jobs. We c",,,
923ecdfe3a2b163e,Need assessment for history-taking instruction program using chatbot for nursing students: A qualitative study using focus group interviews,2023,Digital Health,"<h4>Purpose</h4>A comprehensive health history contributes to identifying the most appropriate interventions and care priorities. However, history-taking is challenging to learn and develop for most nursing students. Chatbot was suggested by students to be used in history-taking training. Still, there is a lack of clarity regarding the needs of nursing students in these programs. This study aimed to explore nursing students' needs and essential components of chatbot-based history-taking instruct",,,
d896db28bdd08c1a,The npj Digital Medicine Editorial Fellowship.,2025,,,,,
