paper_id,title,year,journal,abstract,ai_decision,ai_confidence,ai_rationale,your_decision,your_confidence,your_rationale
278733ccb1e8b0f6,Response to: Investigating the impact of innovative <scp>AI</scp> chatbot on post‐pandemic medical education and clinical assistance: a comprehensive analysis,2023,ANZ Journal of Surgery,"We are grateful for the thoughtful commentary provided by Kleebayoon and Wiwanitkit on our recent article published in the ANZ Journal of Surgery.1 While we welcome this scholarly engagement, we find it imperative to address their concerns in order to elucidate the robustness of our study's design, methodology, and findings. First, the concern regarding the sample size and scope appears to overlook our study's qualitative nature, aimed at understanding the foundational capabilities of large lang",exclude,high,Document type: commentary,,,
2f07409e681517ec,Proceedings of the Second DialDoc Workshop on Document-grounded Dialogue and Conversational Question Answering,2022,,"Computing Science at the University of Glasgow where he leads the Glasgow Representation and Information Learning Lab (GRILL) (https://grilllab.ai). His research focuses on text understanding and conversational information seeking. He completed his Ph.D. at the University of Massachusetts Amherst in the Center for Intelligent Information Retrieval. Later in Google Research, he worked on Information Extraction as part of the Knowledge Discovery Team (Knowledge Vault) and on language understanding",exclude,high,No LLM/AI keywords found,,,
8d85a8fa4f2d311f,Testing the knowledge of artificial intelligence chatbots in pharmacology: examples of two groups of drugs.,2025,,"<h4>Objectives</h4>The study aimed to evaluate eight artificial intelligence chatbots (ChatGPT-3.5, Microsoft Copilot, Gemini, You.com, Perplexity, Character.ai, Claude 3.5, and ChatRTX) in answering questions related to two pharmacological topics taught during the basic pharmacology curriculum for medical students: antifungal drugs and hypolipidemic drugs.<h4>Methods</h4>Chatbots' performance was assessed by answering 60 single-choice questions on antifungal and hypolipidemic drugs topics. The ",exclude,medium,LLM+Medical but no simulation or education context,,,
272a5a7cce99734c,Artificial Intelligence for Predicting Patient Reported Outcome Measures (PROMs) Scores from Free Text: A Proof-of-Concept Study with the EuroQol-5D-3L and Transformer Models (Preprint),2026,,"BACKGROUND Patient-reported outcomes measures (PROMs) have become an important tool in measuring a patient’s health status from their own perspective; however, they are typically measured using standardized questionnaires which do not account for each patient's unique experience of health. Recent improvements in Natural Language Processing (NLP) provide new possibilities to extract PROM scores from unstructured or free-text patient narratives; however, the feasibility and minimal data requiremen",include,high,"All 4 categories present (LLM:5, Sim:1, NTS:1, Med:3)",,,
3fda1cbdc05668e3,ChatGPT y su impacto en la formación de competencias en terapeutas ocupacionales: una reflexión sobre la integridad académica,2023,Cadernos Brasileiros de Terapia Ocupacional,"Resumen El acceso público a la inteligencia artificial y específicamente el ChatGPT está presentando desafíos y retos en la formación profesional de los terapeutas ocupacionales. En este contexto, este ensayo busca describir el impacto de la inteligencia artificial, con énfasis en el ChatGPT, en la formación de terapeutas ocupacionales y proponer estrategias para integrar estas tecnologías en la educación superior desde una perspectiva integradora, ética y acorde a los valores y principios de la",exclude,high,LLM only - no medical or simulation context,,,
cb1d7abca07f44d0,Important concepts to virtual reality,2025,,"The term ""virtual reality"" (VR) refers to the interaction of a human being with a simulated world that has been produced via the deployment of computing technology, typically incorporating computer graphics and artificial intelligence. ""Virtual"" refers to anything that is imagined, whereas ""reality"" refers to something that is true. Within virtual reality, it is possible for a human to physically handle virtual things or animated objects. Many fascinating applications, such as, make advantage of",include,low,AI screening disabled - included for manual review,,,
6362ac11b5b57426,"Artificial Intelligence in Dermatology: A Comprehensive Review of Approved Applications, Clinical Implementation, and Future Directions.",2025,,"This comprehensive review examines artificial intelligence (AI) applications in dermatology, approved by the United States (U.S.) Food and Drug Administration (FDA) and international organizations, evaluating their clinical implementation and impact on healthcare delivery. We identified fifteen regulatory-approved AI devices globally, including three FDA-approved systems in the U.S. The FDA-approved devices primarily focused on melanoma and skin cancer detection through specialized hardware, whi",include,low,AI screening disabled - included for manual review,,,
958e6515b25dd99b,Harnessing the Potential of the Metaverse and Artificial Intelligence for the Internet of City Things: Cost-Effective XReality and Synergistic AIoT Technologies,2023,Smart Cities,"The Metaverse represents an always-on 3D network of virtual spaces, designed to facilitate social interaction, learning, collaboration, and a wide range of activities. This emerging computing platform originates from the dynamic convergence of Extended Reality (XR), Artificial Intelligence of Things (AIoT), and platform-mediated everyday life experiences in smart cities. However, the research community faces a pressing challenge in addressing the limitations posed by the resource constraints ass",include,low,AI screening disabled - included for manual review,,,
66a642f575c60c1d,Artificial intelligence vs. physicians: Quality of oncology patient education materials.,2024,JCO Oncology Practice,"408 Background: ChatGPT, a large language model (LLM) chatbot, emerged as a significant source of information for patients and providers. As artificial intelligence (AI) continues to evolve, its integration into educational content creation offers promising enhancements in the delivery of medical information. This study compares the effectiveness and readability of AI-generated and physician-generated educational materials in oncology, focusing on various symptoms and side effects of treatment. ",include,low,AI screening disabled - included for manual review,,,
08985cf09d3a5f85,2024 IEEE International Conference on Artificial Intelligence and eXtended and Virtual Reality (AIxVR),2024,,,include,low,AI screening disabled - included for manual review,,,
db63896a31ac9896,Assessing the Utilization of Large Language Model Chatbots for Educational Purposes by Medical Teachers: A Nationwide Survey From India,2024,Cureus,"Background Large language models (LLMs) are increasingly explored in healthcare and education. In medical education, they hold the potential to enhance learning by supporting personalized teaching, resource development, and student engagement. However, LLM use also raises concerns about ethics, accuracy, and reliance. Understanding how educators leverage LLMs can help assess their role and implications in medical education. Methods This cross-sectional online survey was conducted among medical t",include,low,AI screening disabled - included for manual review,,,
ec9b64acfba75733,Trends in the Use of Artificial Intelligence in Science Education: Bibliometric &amp; Biblioshiny Analysis (1975-2024),2024,Jurnal Penelitian Pendidikan IPA,"This research was conducted to look at research trends in the Scopus database regarding the study of Artificial Intelligence in Science Education. Using the PRISMA method, researchers selected and determined 146 documents that were ready to be analyzed using bibliometric and biblioshiny methods with the help of the R program and Vosviewer. From the results of the analysis carried out, it was concluded that research on Artificial Intelligence in Science Education in the Scopus Database started fr",include,low,AI screening disabled - included for manual review,,,
d73540cbc3599602,ARTIFICIAL INTELLIGENCE AS AN EFFECTIVE TOOL FOR PERSONALIZED LEARNING IN MODERN EDUCATION,2025,Environment Technology Resources Proceedings of the International Scientific and Practical Conferenc,"Artificial Intelligence (AI) plays a pivotal role in the modernization of the educational process, particularly in higher education institutions, by enhancing the quality of professional training for future specialists. The integration of AI fosters personalized learning through adaptive technologies that optimize students\u27 educational trajectories based on their individual needs and knowledge levels. This paper explores critical elements such as the implementation of virtual simulations and ",include,low,AI screening disabled - included for manual review,,,
50e87784b82767a3,Multimodal Generative Models for Responsible Deployment in Healthcare and Biology,2023,,"Generative modeling has recently gained significant attention due to its high-profile successes in natural language processing and computer vision. However, there remain major challenges in deploying generative models for real-world impact in domains like healthcare and biology. This paper discusses the importance of multimodal capabilities, deployment-critical features, and human-facing evaluation in generative models for responsible deployment in healthcare and biology. We review recent advanc",exclude,medium,LLM+Medical but no simulation or education context,,,
74d9366292a89c8a,Diagnostic Performance and Cost-Efficiency of Large Language Models in Secondary Hypertension: A Blinded Comparative Study,2026,Preprints.org,"Background/Objectives: Secondary hypertension requires complex diagnostic reasoning and guideline-based management, posing challenges for artificial intelligence–based clinical decision-support systems. This study aimed to comparatively evaluate the performance of three large language models (LLMs) in diagnostic reasoning, clinical management, follow-up planning, and patient-oriented communication related to secondary hypertension. Methods: In this cross-sectional blinded study, three LLMs (Chat",include,high,"All 4 categories present (LLM:7, Sim:1, NTS:3, Med:2)",,,
96eacbb7835cfb0a,Sosyal ve Fen Eğitiminde Güncel Araştırmalar II,2025,,Piaget ve Vygotsky Bilişsel Gelişim Kuramları İlbilge DÖKME Sınıf Düzeyine ve Bilim Sanat Eğitim Merkezlerine Kayıtlı Olma Durumuna Göre Öğrencilerinin Bilimsel Muhakeme Becerileri Nil YILDIZ İlbilge DÖKME Eğitsel Filmlerin Fen Bilgisi Öğretmen Adaylarının Öğretmen Yeterlik İnançlarına Etkisi Yılmaz KARA Stem Etkinliklerinin 8. Sınıf Öğrencilerinin Elektrik Ünitesine Yönelik Metaforik Algılarına Etkisi Sebahattin TINMAZ Betül TİMUR Özel Eğitim Okullarında Görev Yapan Öğretmenlerin Mesleki Gelişi,exclude,high,No LLM/AI keywords found,,,
edb935b1cedbb616,"Enhancing Diagnosis, Treatment, and Patient Results Using Artificial Intelligence in Healthcare",2025,Advances in Healthcare Information Systems and Administration,"Artificial intelligence (AI) is revolutionizing healthcare by improving diagnostic accuracy, treatment personalization, and operational efficiency. This chapter explores AI applications in medical imaging, predictive analytics, drug discovery, and patient care. We examine current AI-driven systems, such as deep learning models for early diagnosis and natural language processing for electronic health record (EHR) analysis. The chapter also discusses challenges in integrating AI into healthcare, i",exclude,medium,LLM+Medical but no simulation or education context,,,
e1151bc0cef38a2c,A systematic review of technology acceptance models and theories in construction research,2023,Journal of Information Technology in Construction,"Technology use in the construction industry fosters improvements in schedule, safety, cost, productivity, and quality. In this domain, the construction technologies adoption highly depends on stakeholders, who may exhibit some resistance to operational use. This underscores the importance of determining technology integration success using effective methods such as predictive and explanatory modelling. Although existing literature has provided some critical insight into the use of these models a",exclude,high,No LLM/AI keywords found,,,
0f5fd89ddbe987d9,An Immersive Ceramic Display and Personalized Decoration Method Based on WebVR,2024,"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",,exclude,high,No LLM/AI keywords found,,,
36f37b1859af6a01,The horizon of pediatric cardiac critical care,2022,Frontiers in Pediatrics,"Pediatric Cardiac Critical Care (PCCC) is a challenging discipline where decisions require a high degree of preparation and clinical expertise. In the modern era, outcomes of neonates and children with congenital heart defects have dramatically improved, largely by transformative technologies and an expanding collection of pharmacotherapies. Exponential advances in science and technology are occurring at a breathtaking rate, and applying these advances to the PCCC patient is essential to further",exclude,high,No LLM/AI keywords found,,,
22750855890056e4,Evolving Minds: Natural Learning vs. Artificial Learning in Ophthalmology Training,2026,Turkish Journal of Ophthalmology,<h4>Objectives</h4>This study aimed to compare year-over-year change in ChatGPT's performance on nationwide ophthalmology exams with the performance change among residents over the same period.<h4>Materials and methods</h4>This observational study included ophthalmology residents in Türkiye who participated in both the 2023 and 2024 Resident Training Development Exams organized by the Turkish Ophthalmological Association Qualifications Committee. The 2023 examination consisted of 69 single-best-,include,low,AI screening disabled - included for manual review,,,
09f77b9775f4be60,An Analysis of a ChatGPT Use Case: Can a Large Language Model (LLM) be Used to Plan Artificial Reefs as a Fisheries Management Tool?,2025,Turkish Journal of Fisheries and Aquatic Sciences,"No studies have examined the appropriateness of artificial intelligence for the planning of artificial reefs used in fisheries management. This study examined ChatGPT's capabilities in planning artificial reef (AR) projects by asking 50 questions and evaluating the answers from five experts. This approach aimed to assess the interactivity of ChatGPT, its contribution to the advancement of marine science and technology, and its potential limitations in the applied marine context. We analysed the ",exclude,high,LLM only - no medical or simulation context,,,
811f87575ab7a9c0,Using ChatGPT in Simulation Design: What Can (or Should) It Do for You?,2023,Clinical Simulation in Nursing,,include,low,AI screening disabled - included for manual review,,,
87ff9a42a80f914f,"Artificial Intelligence in Medical Education, Advantages and Prospects",2023,Virtual Technologies in Medicine,"Artificial intelligence, or AI, is gaining momentum across industries, and simulation-based learning is no exception. AI has the ability to quickly collect and process information, while machine learning learns and adapts to the user, improving performance over time. Artificial intelligence has the potential to simplify and systematize the learning process. But what are its advantages and prospects for use in our time?",include,medium,LLM+Simulation+Medical but no NTS keywords (Tier 2),,,
22947df52726d697,Large language models in interpreting legal documents,2026,Challenges and Applications of Generative Large Language Models,,exclude,high,LLM only - no medical or simulation context,,,
f75e52e2bf213682,"Integrating Quantum AI, Gamification, and Adaptive Storytelling in educational augmented reality: a systematic review",2025,International Journal of Electronics and Telecommunications,"The convergence of Quantum Artificial Intelligence (QAI) with known educational technologies like Augmented Reality (AR), Gamification, and Adaptive Storytelling (AS) offers revolutionary learning experiences. While AR, Gamification, and AS have been demonstrably shown to enhance learner engagement and comprehension, especially in higher education in the STEM, language, and health domains, integrating them into a comprehensive, adaptive system that QAI can optimize remains a significant challeng",include,low,AI screening disabled - included for manual review,,,
e3165b27af1850f5,Emotional processing Traitement des émotions,2024,,,exclude,high,No LLM/AI keywords found,,,
dfe9b9650cfb9553,ChatGPT in higher education: Investigating bachelor and master students’ expectations towards AI tool,2025,Education and Information Technologies,,exclude,high,LLM only - no medical or simulation context,,,
b6f9700f05267226,Game Elements in the Design of Simulations in Military Trauma Management Training: Protocol for a Systematic Review.,2023,,"<h4>Background</h4>Military trauma teams are commonly operating in civilian hospitals during peacetime; in a war situation they must adjust their practices to the austere conditions. Simulations can replicate austere conditions to allow training in a safe environment that tolerates errors. Gamification, understood as the use of game elements to motivate and engage learners in nongame contexts, is gaining interest in medical education and military training. Applying game elements in the design of",exclude,high,No LLM/AI keywords found,,,
ca3ab815ca73e7cc,Building and Repairing Trust in Chatbots: The Interplay Between Social Role and Performance During Interactions.,2026,,"Trust (or distrust) in artificial intelligence (AI) is a critical research topic, given AI's pervasive integration across societal domains. Despite its significance, scholarly attention to process-based learned trust in AI remains limited. To address this gap, this study designed a virtual non-fungible token (NFT) investment task, featuring seven rounds of risk decision-making scenarios, to simulate an investment/trust game to explore participants' multifaceted trust under the influence of diffe",include,low,AI screening disabled - included for manual review,,,
f48d3feb8e55577a,Machine Learning Approaches for Evaluating the Progress of Surgical Training on a Virtual Reality Simulator,2024,Applied Sciences,"Automated assessment of surgical skills is crucial for the successful training of junior surgeons. Twenty-three medical students followed a structured training curriculum on a laparoscopic virtual reality (VR) simulator. Three surgical tasks with significant educational merit were considered (Tasks 5, 6, and 7). We evaluated seven machine learning (ML) models for classifying the students’ trials into two and three classes based on the progress of training (Beginning vs. End and Beginning vs. Mid",include,high,"All 4 categories present (LLM:1, Sim:3, NTS:1, Med:2)",,,
8f2b4f59f786cff0,Model and Analysis of Economic- and Risk-Based Objective Optimization Problem for Plant Location within Industrial Estates Using Epsilon-Constraint Algorithms,2021,Computation,"In many countries, a number of industrial estates have been established to support the growth of the industrial sector, which is an essential strategy to drive economic growth. Planning for the location of industrial factories within an industrial estate, however, becomes complex, given the various types of industrial plants and the requirements of utilities to support operations within an industrial park. In this research, we model and analyze bi-objective optimization for locating plants withi",exclude,high,No LLM/AI keywords found,,,
5e2facbac17c6b2b,Challenges to Medical Education on Surgical Services During the COVID-19 Pandemic,2020,Medical Science Educator,,exclude,high,No LLM/AI keywords found,,,
8da6c7dd16c70b65,Социальный институт спорта как фактор трансформации личности,2024,Modern Humanities Success,"the article analyzes sport as a social institution and its place in the life of an individual. The Institute of sports is considered in its various aspects and in the performance of its various functions when influencing the personality. A modern interpretation of this concept is given. The emphasis is placed on the urgent problems of the social institute of sports, which plays an important role in the formation of a person's personality. The characteristics of the social functions of sport are ",exclude,high,No LLM/AI keywords found,,,
4fd1d5f802dd7fcb,Trauma Care in Low- and Middle-Income Countries.,2021,,"<b>Background</b>  Trauma-related injury causes higher mortality than a combination of prevalent infectious diseases. Mortality secondary to trauma is higher in low- and middle-income countries (LMICs) than high-income countries. This review outlines common issues, and potential solutions for those issues, identified in trauma care in LMICs that contribute to poorer outcomes. <b>Methods</b>  A literature search was performed on PubMed and Google Scholar using the search terms ""trauma,"" ""injuries",exclude,high,No LLM/AI keywords found,,,
4d7df37f0900a7b3,Impact of Generative AI on Metaverse-Enabled Healthcare Industries,2024,Advances in Medical Technologies and Clinical Practice,"The integration of generative artificial intelligence (AI) into metaverse-enabled healthcare industries is catalyzing a profound transformation in the way healthcare is delivered, experienced, and optimized. This chapter explores the multifaceted impact of generative AI within the immersive and interconnected realm of the Metaverse on healthcare systems, services, and patient outcomes. Generative AI, driven by powerful deep learning algorithms and neural networks, is revolutionizing medical data",include,high,"All 4 categories present (LLM:3, Sim:2, NTS:1, Med:3)",,,
098b690fb414347d,How organizations can innovate with generative AI,2024,Business Horizons,"Artificial intelligence (AI) is poised to have a profound influence on businesses across all sectors. Specifically, generative AI is set to underpin the development of potent and novel capabilities, ushering in a new wave of innovation. For example, there has been massive hype surrounding the launch of ChatGPT, with growing speculation regarding its disruptive nature of generative AI for organizations and society. The ongoing debate conveys a clear belief that ChatGPT will lead to far-reaching i",exclude,high,LLM only - no medical or simulation context,,,
2b04f5350f8a3439,Effect of multimodal comprehensive communication skills training with video analysis by artificial intelligence for physicians on acute geriatric care: a mixed-methods study.,2023,,"<h4>Objectives</h4>To quantitatively analyse by artificial intelligence (AI) the communication skills of physicians in an acute care hospital for geriatric care following a multimodal comprehensive care communication skills training programme and to qualitatively explore the educational benefits of this training programme.<h4>Design</h4>A convergent mixed-methods study, including an intervention trial with a quasi-experimental design, was conducted to quantitatively analyse the communication ski",include,high,"All 4 categories present (LLM:1, Sim:2, NTS:4, Med:4)",,,
199a3fe70707c82c,Artificial intelligence and real-world data for drug and food safety – A regulatory science perspective,2023,Regulatory Toxicology and Pharmacology,"In 2013, the Global Coalition for Regulatory Science Research (GCRSR) was established with members from over ten countries (www.gcrsr.net). One of the main objectives of GCRSR is to facilitate communication among global regulators on the rise of new technologies with regulatory applications through the annual conference Global Summit on Regulatory Science (GSRS). The 11th annual GSRS conference (GSRS21) focused on ""Regulatory Sciences for Food/Drug Safety with Real-World Data (RWD) and Artificia",exclude,high,LLM only - no medical or simulation context,,,
d896db28bdd08c1a,The npj Digital Medicine Editorial Fellowship.,2025,,,exclude,high,Document type: editorial,,,
0fa5401b180fea3c,CoEmpaTeam: Enhancing Cognitive Empathy using LLM-based Avatars and Dynamic Role Play in Virtual Reality,2026,ArXiv.org,"Cognitive empathy, the ability to understand others' perspectives, is essential for effective communication, reducing biases, and constructive negotiation. However, this skill is declining in a performance-driven society, which prioritizes efficiency over perspective-taking. Here, the training of cognitive empathy is challenging because it is a subtle, hard-to-perceive soft skill. To address this, we developed CoEmpaTeam, a VR-based system that enables users to train their cognitive empathy by u",include,low,AI screening disabled - included for manual review,,,
0156748e5d2d9603,LLM-Based Clinical History Taking System: A Persona-Driven Approach.,2025,,"Standardized patients (SPs) are vital for clinical training but resource-intensive. We developed a systematic approach for generating SP cases using GPT-4o and validated 12 cases across three chief complaints. Expert validation showed good clinical authenticity (information flow: 3.7±0.5, realism: 3.4±0.8) and accuracy (3.4±0.5). Medical students (n=15) rated virtual patient interactions positively (appropriateness: 7.9/10, accuracy: 7.5/10). Results suggest LLM-generated SP cases offer viable e",include,high,"All 4 categories present (LLM:3, Sim:2, NTS:1, Med:4)",,,
923ecdfe3a2b163e,Need assessment for history-taking instruction program using chatbot for nursing students: A qualitative study using focus group interviews,2023,Digital Health,"<h4>Purpose</h4>A comprehensive health history contributes to identifying the most appropriate interventions and care priorities. However, history-taking is challenging to learn and develop for most nursing students. Chatbot was suggested by students to be used in history-taking training. Still, there is a lack of clarity regarding the needs of nursing students in these programs. This study aimed to explore nursing students' needs and essential components of chatbot-based history-taking instruct",exclude,high,No LLM/AI keywords found,,,
8c7293d097b8063b,Fostering the clinician as teacher: A realist review.,2025,,"<h4>Background</h4>Clinician-teachers, physicians with educational responsibilities in either classroom or clinical setting, are assumed to add value by virtue of their dual role. The clinical responsibilities are often prioritised over the educational tasks. How and under which circumstances clinician-teachers are able to perform their educational role and create added value for different stakeholders is currently unclear.<h4>Objectives</h4>To identify for whom, how and under which circumstance",include,low,AI screening disabled - included for manual review,,,
3529b435d7e9f168,Wesam Al Attar singularity evaluation: a simulation-based framework for sports injury risk assessment using critical transitions theory.,2025,,"<h4>Background</h4>Sports injury prediction remains a significant challenge in sports medicine, with traditional approaches often failing to capture the complex, nonlinear nature of injury mechanisms. Critical transitions theory, which describes sudden shifts in complex systems, offers a new theoretical framework for understanding injury occurrence as a transition from stable to unstable biomechanical states.<h4>Objective</h4>To develop and validate through simulation the Wesam Al Attar Singular",include,high,"All 4 categories present (LLM:1, Sim:2, NTS:2, Med:1)",,,
ee0c717e848ba2d0,"Evaluating the Accuracy and Reliability of Large Language Models (ChatGPT, Claude, DeepSeek, Gemini, Grok, and Le Chat) in Answering Item-Analyzed Multiple-Choice Questions on Blood Physiology",2025,Cureus,"Background Previous research has highlighted the potential of large language models (LLMs) in answering multiple-choice questions (MCQs) in medical physiology. However, their accuracy and reliability in specialized fields, such as blood physiology, remain underexplored. This study evaluates the performance of six free-to-use LLMs (ChatGPT, Claude, DeepSeek, Gemini, Grok, and Le Chat) in solving item-analyzed MCQs on blood physiology. The findings aim to assess their suitability as educational ai",include,low,AI screening disabled - included for manual review,,,
6425e6812f78091d,ChatGPT - Reshaping medical education and clinical management,2023,Pakistan Journal of Medical Sciences,"Artificial Intelligence is no more the talk of the fiction read in novels or seen in movies. It has been making inroads slowly and gradually in medical education and clinical management of patients apart from all other walks of life. Recently, chatbots particularly ChatGPT, were developed and trained, using a huge amount of textual data from the internet. This has made a significant impact on our approach in medical science. Though there are benefits of this new technology, a lot of caution is r",include,low,AI screening disabled - included for manual review,,,
cc7d1a25b9087663,Artificial Intelligence Efficacy as a Function of Trainee Interpreter Proficiency: Lessons from a Randomized Controlled Trial.,2024,,"<h4>Background and purpose</h4>Recently, artificial intelligence tools have been deployed with increasing speed in educational and clinical settings. However, the use of artificial intelligence by trainees across different levels of experience has not been well-studied. This study investigates the impact of artificial intelligence assistance on the diagnostic accuracy for intracranial hemorrhage and large-vessel occlusion by medical students and resident trainees.<h4>Materials and methods</h4>Th",include,low,AI screening disabled - included for manual review,,,
e135743d92a0d41f,Acceptability and satisfaction of a conversational AI tool for communication skills training in preregistration nursing: A pilot study,2025,Clinical Simulation in Nursing,,include,low,AI screening disabled - included for manual review,,,
9a79d5102350c3fd,Tribes and AI: Possibilities for Tribal Sovereignty,2024,Duke University School of Law,"Artificial Intelligence (AI) has permeated every facet of modern existence. Governments across the globe are exploring its applications and attempting to establish regulatory frameworks. Numerous scholars have proffered recommendations for governing AI at the local, national, and international levels. However, as is often the case, Indian tribes have been neglected in AI policy discussions. This oversight is significant because the 574 federally recognized tribes are sovereigns with their own ju",include,low,AI screening disabled - included for manual review,,,
36ab205da24ae224,"""I'm categorizing LLM as a productivity tool"": Examining ethics of LLM use in HCI research practices",2024,arXiv (Cornell University),"Large language models are increasingly applied in real-world scenarios, including research and education. These models, however, come with well-known ethical issues, which may manifest in unexpected ways in human-computer interaction research due to the extensive engagement with human subjects. This paper reports on research practices related to LLM use, drawing on 16 semi-structured interviews and a survey conducted with 50 HCI researchers. We discuss the ways in which LLMs are already being ut",include,low,AI screening disabled - included for manual review,,,
8871be8309122763,"The impact of emerging technologies on education, roles and career progression of radiation therapists: a delphi consensus based on the ESTRO RTT workshop",2026,Technical Innovations & Patient Support in Radiation Oncology,"<h2>Abstract</h2> Rapid technological advances in radiation oncology, including artificial intelligence (AI), online adaptive radiotherapy, and advanced imaging, are transforming radiotherapy practice and professional roles. Radiation Therapists (RTTs) must adapt their education, scope of practice, and career pathways to safely implement these technologies, yet international consensus on how this should be supported remains limited. A modified Delphi study was conducted following two online inte",include,low,AI screening disabled - included for manual review,,,
