task_id,phase,stage,task_name,task_instructions,input_files,output_files,dependencies,estimated_minutes,status,assigned_agent,completion_notes
40,4_analysis,4.7,Create keyword_cooccurrence.py and run,"Build keyword co-occurrence network from author keywords + extracted terms. Compute: most frequent keywords, co-occurrence matrix, network graph visualization (networkx), community detection.",03_analysis/enriched_dataset.csv,03_analysis/figures/keyword_network.png; tables/,34,25,pending,,
41,4_analysis,4.8,Create thematic_mapping.py and run,"Build the strategic diagram (Callon et al. 1991): from keyword co-occurrence network compute clusters using Louvain algorithm. For each cluster compute centrality (external links) and density (internal links). Plot 4-quadrant strategic diagram: motor themes (Q1), niche themes (Q2), emerging/declining (Q3), basic/transversal (Q4). Label each cluster with its top keywords.",03_analysis/enriched_dataset.csv; keyword co-occurrence data,03_analysis/figures/strategic_diagram.png; thematic_map_data.json,40,30,pending,,
42,4_analysis,4.9,Create nts_analysis.py and run,"Classify papers by NTS domain: communication, teamwork, leadership, decision-making, situational awareness, empathy, clinical reasoning, stress management, CRM. Count and visualize distribution. Identify under-researched NTS areas.",03_analysis/enriched_dataset.csv,03_analysis/figures/nts_distribution.png; tables/,34,15,pending,,
43,4_analysis,4.10,Create llm_model_analysis.py and run,"Extract which LLM models are mentioned in each paper (ChatGPT, GPT-4, Claude, Gemini, etc.). Count distribution, trend over time (which models are rising/falling), proprietary vs open-source split.",03_analysis/enriched_dataset.csv,03_analysis/figures/llm_models.png; tables/,34,15,pending,,
44,4_analysis,4.11,Create simulation_type_analysis.py and run,"Classify papers by simulation type: virtual patient/chatbot, standardized patient, mannequin-based, VR/MR/XR, OSCE, roleplay, debriefing. Count and visualize. Identify trends.",03_analysis/enriched_dataset.csv,03_analysis/figures/simulation_types.png; tables/,34,15,pending,,
45,4_analysis,4.12,Create medical_specialty_analysis.py and run,"Classify papers by medical specialty: general medical education, surgery, emergency medicine, primary care, psychiatry, nursing, anaesthesia, etc. Special attention to urology papers.",03_analysis/enriched_dataset.csv,03_analysis/figures/specialties.png; tables/,34,15,pending,,
46,4_analysis,4.13,Create research_methods_analysis.py and run,"Classify papers by research method: RCT, quasi-experimental, mixed methods, qualitative, development study, feasibility study, review. Compute distribution and trends.",03_analysis/enriched_dataset.csv,03_analysis/figures/research_methods.png; tables/,34,15,pending,,
47,4_analysis,4.14,Create co_authorship_network.py and run,"Build co-authorship network from author lists. Identify clusters, key bridging authors, most connected authors. Visualize with networkx. Compute network density and clustering coefficient.",03_analysis/enriched_dataset.csv,03_analysis/figures/coauthor_network.png; tables/,34,20,pending,,
48,4_analysis,4.15,Create urology_subanalysis.py and run,"Filter dataset for urology-related papers. Analyze: publication trends, LLM models used, simulation types, NTS focus, key institutions/authors. Dedicated section for boot camp analysis. Discuss future vision for LLM-enhanced mannequin training.",03_analysis/enriched_dataset.csv,03_analysis/figures/urology_*.png; tables/urology_results.md,34,20,pending,,
49,4_analysis,4.16,Create word_cloud.py and run,"Generate word clouds from: all titles, all abstracts, all keywords. Separate word clouds for Tier 1/2/3. High-resolution publication-quality output.",03_analysis/enriched_dataset.csv,03_analysis/figures/wordcloud_*.png,34,10,pending,,
50,4_analysis,4.17,Create run_all_analyses.py,"Master script that runs all analysis scripts in order and generates a combined FULL_ANALYSIS_REPORT.md with all statistics tables and figure references.",all analysis scripts,03_analysis/FULL_ANALYSIS_REPORT.md,34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49,10,pending,,
51,4_analysis,4.18,Quality check all figures,"Review all generated figures for: readability, label clarity, appropriate font sizes, color accessibility, DPI >= 300, consistent style. Regenerate any that don't meet publication standards.",03_analysis/figures/*.png,Corrected figures,50,15,pending,,
52,4_analysis,4.19,Create PRISMA flow diagram,"Generate PRISMA 2020 flow diagram showing: records identified per database, duplicates removed, records screened, records excluded (with reasons), studies included in final analysis. Use matplotlib or dedicated PRISMA tool.",all processing reports,03_analysis/figures/prisma_flow.png,29;50,15,pending,,
53,5_manuscript,5.1,Create manuscript template,"Create template.md with IMRAD structure and {{placeholder}} markers for all dynamic content: paper counts, percentages, figure references, table references. Sections: Title, Abstract, Introduction, Methods, Results, Discussion, Conclusions, References, Appendices.",none,04_manuscript/template.md,none,20,pending,,
54,5_manuscript,5.2,Write Introduction section,"Write the introduction (1000-1200 words): context of LLMs in healthcare education, the emergence of ChatGPT and its impact, simulation-based education background, NTS importance, gap in literature (no comprehensive bibliometric), study objectives. Cite key references.",03_analysis/FULL_ANALYSIS_REPORT.md,04_manuscript/sections/introduction.md,50,30,pending,,
55,5_manuscript,5.3,Write Methods section,"Write methods (1000-1200 words): search strategy (databases, date range, keywords), inclusion/exclusion criteria with PRISMA compliance, data sources (explain free/open access philosophy), screening process (two-stage with AI), data extraction, bibliometric analysis methods (tools, indicators), thematic mapping methodology. Reference PRISMA 2020.",config.yaml; all processing reports,04_manuscript/sections/methods.md,52,30,pending,,
56,5_manuscript,5.4,Write Results section - descriptive statistics,"Write results subsection on descriptive statistics: total papers per tier, year distribution, source database coverage, document types, language, open access status. Reference figures and tables.",03_analysis/tables/descriptive_stats.md; figures/,04_manuscript/sections/results_descriptive.md,34;50,20,pending,,
57,5_manuscript,5.5,Write Results section - publication trends,"Write results subsection: publication growth trends, CAGR calculation, pre/post ChatGPT comparison, growth projections. Reference publication trend figures.",03_analysis/figures/publication_trends.png; tables/,04_manuscript/sections/results_trends.md,35;50,15,pending,,
58,5_manuscript,5.6,Write Results section - citation analysis,"Write results subsection: citation metrics (h-index, mean, median), most cited papers, citation distribution, uncited paper percentage. Reference citation figures.",03_analysis/figures/citation_*.png; tables/,04_manuscript/sections/results_citations.md,36;50,15,pending,,
59,5_manuscript,5.7,Write Results section - author and journal analysis,"Write results subsection: author productivity (Lotka's law), prolific authors, journal distribution (Bradford's law), core journals. Reference figures.",03_analysis/figures/author_*.png; journal_*.png; tables/,04_manuscript/sections/results_authors_journals.md,37;38;50,15,pending,,
60,5_manuscript,5.8,Write Results section - geographic distribution,"Write results subsection: country distribution, international collaboration patterns, regional analysis. Reference geographic figures.",03_analysis/figures/geographic_*.png; tables/,04_manuscript/sections/results_geographic.md,39;50,15,pending,,
61,5_manuscript,5.9,Write Results section - thematic mapping,"Write results subsection: keyword co-occurrence findings, thematic clusters identified, strategic diagram interpretation (motor/niche/emerging/basic themes). Reference thematic figures.",03_analysis/figures/strategic_diagram.png; keyword_network.png; tables/,04_manuscript/sections/results_thematic.md,41;50,15,pending,,
62,5_manuscript,5.10,Write Results section - NTS and simulation analysis,"Write results subsection: NTS domain distribution, simulation type analysis, LLM model distribution, research methods. Cross-tabulations where useful.",03_analysis/figures/nts_*.png; simulation_*.png; llm_*.png; tables/,04_manuscript/sections/results_nts_sim.md,42;43;44;46;50,20,pending,,
63,5_manuscript,5.11,Write Results section - urology sub-analysis,"Write 1-2 dedicated subsections on urology: current state of urology simulation, LLM applications in urology training, boot camp landscape, vision for LLM-enhanced mannequin training replacing human speakers.",03_analysis/figures/urology_*.png; tables/urology_results.md,48;50,20,pending,,
64,5_manuscript,5.12,Write Discussion section,"Write discussion (2000-2500 words): interpret key findings, compare with existing bibliometric analyses in medical education, discuss the NTS gap (communication dominant, teamwork/leadership under-researched), implications for educators and researchers, the open-access data philosophy, limitations (no Scopus/WoS, AI screening), future directions.",All analysis outputs; existing Bibliometric_2026 manuscript for reference,04_manuscript/sections/discussion.md,56;57;58;59;60;61;62;63,45,pending,,
65,5_manuscript,5.13,Write Conclusions section,"Write conclusions (500-700 words): summarize key findings, practical recommendations for researchers/educators/institutions, call for more rigorous research designs (RCTs), highlight replicability of the pipeline.",04_manuscript/sections/discussion.md,04_manuscript/sections/conclusions.md,64,15,pending,,
66,5_manuscript,5.14,Write Abstract,"Write structured abstract (350 words max): Background, Methods, Results, Conclusions. Must be self-contained with key numbers.",all manuscript sections,04_manuscript/sections/abstract.md,56;57;58;59;60;61;62;63;64;65,15,pending,,
67,5_manuscript,5.15,Create populate_results.py,"Build script that reads analysis outputs (JSON/CSV) and populates template.md with actual numbers, creating the full manuscript. Generate both .md and .docx output.",04_manuscript/template.md; all analysis outputs,04_manuscript/populate_results.py,53;50,20,pending,,
68,5_manuscript,5.16,Assemble full manuscript,"Run populate_results.py to generate the complete manuscript. Manually review and merge all sections into a single coherent document. Ensure all figures and tables are referenced.",all sections; populate script,04_manuscript/output/MANUSCRIPT_YYYYMMDD.md,54;55;56;57;58;59;60;61;62;63;64;65;66;67,20,pending,,
69,5_manuscript,5.17,Format manuscript for target journal,"Identify target journal (BMC Medical Education, Advances in Simulation, or similar). Format manuscript to journal requirements: word count, reference style, figure formatting, supplementary materials.",04_manuscript/output/MANUSCRIPT_*.md,04_manuscript/output/MANUSCRIPT_formatted.md,68,20,pending,,
70,5_manuscript,5.18,Generate .docx version for review,"Convert final manuscript to .docx using python-docx or pandoc. Ensure formatting, tables, and figure references survive conversion. This goes to Shekhar for submission.",04_manuscript/output/MANUSCRIPT_formatted.md,04_manuscript/output/MANUSCRIPT.docx,69,10,pending,,
71,5_manuscript,5.19,Write cover letter,"Write cover letter to editor: state novelty (first comprehensive bibliometric of LLMs in healthcare simulation for NTS), highlight key findings, explain replicable pipeline as contribution, declare no conflicts of interest.",04_manuscript/output/MANUSCRIPT_formatted.md,04_manuscript/output/cover_letter.md,69,15,pending,,
72,5_manuscript,5.20,Prepare submission checklist for Shekhar,"Create checklist with all submission requirements pre-filled: author names/affiliations/ORCID, CRediT taxonomy, funding statement, competing interests, data availability statement, ethics approval (N/A for bibliometric), acknowledgements.",04_manuscript/output/ all files,04_manuscript/output/submission_checklist.md,70;71,10,pending,,
73,5_manuscript,5.21,Create supplementary materials,"Compile: full search strategies per database (Appendix A), PRISMA checklist (Appendix B), full list of included papers with metadata (Appendix C), R/Python code availability statement (Appendix D).",all processing and analysis files,04_manuscript/output/supplementary_materials.md,68,20,pending,,
74,6_validation,6.1,Compute inter-rater reliability,"After colleagues return their reviews: run compute_irr.py to calculate Cohen's kappa (pairwise) and Fleiss' kappa (all reviewers). Target: kappa >= 0.80.",05_validation/irr_results/*.csv; 02_processing/irr_samples/*.csv,05_validation/validation_report.md,31,10,pending,,
75,6_validation,6.2,Cross-validate against Google Scholar,"Manually search Google Scholar for 'LLM simulation healthcare' and compare top 50 results against our dataset. Document any papers we missed and why.",03_analysis/enriched_dataset.csv,logs/google_scholar_validation.md,32,20,pending,,
76,6_validation,6.3,Verify analysis reproducibility,"Delete all analysis outputs. Re-run run_all_analyses.py from the analysis dataset. Verify all figures and tables regenerate identically. Document any discrepancies.",03_analysis/run_all_analyses.py; analysis_dataset.csv,Reproducibility verification report,50,15,pending,,
77,6_validation,6.4,Peer review manuscript internally,"Read the full manuscript critically. Check: logical flow, accurate citation of figures/tables, consistent numbers across sections, no plagiarism, proper academic tone, correct reference formatting.",04_manuscript/output/MANUSCRIPT_formatted.md,Internal review notes,69,30,pending,,
78,7_github,7.1,Initialize git repository,"cd Bibliometric_v2 && git init. Create comprehensive .gitignore (raw data, .env, checkpoints, logs, __pycache__). Make initial commit with all code and config.",Bibliometric_v2/,git repository,.gitignore exists,5,pending,,
79,7_github,7.2,Write README.md,"Create GitHub README: project description, prerequisites, installation, how to run (quick start + full pipeline), configuration, re-running every 6 months guide, citation info, license (MIT or CC-BY).",all code files,README.md,78,20,pending,,
80,7_github,7.3,Create run_pipeline.py master script,"Build master pipeline script with CLI: --collect --process --analyze --manuscript --all flags. --loop mode for autonomous operation. Proper logging and error handling.",all scripts,run_pipeline.py,14;15;16;17;50;67,20,pending,,
81,7_github,7.4,Test full pipeline end-to-end,"Run: python run_pipeline.py --all on a clean folder (backup and delete existing outputs first). Verify the entire pipeline from collection through manuscript generation works.",run_pipeline.py,E2E test report in logs/,80,60,pending,,
82,7_github,7.5,Create GitHub repository and push,"Create repo on GitHub (public). Push all code. Verify README renders correctly. Add topics/tags.",git repository; README.md,GitHub URL,78;79,10,pending,,
83,7_github,7.6,Final commit with all outputs,"Stage all final analysis outputs, figures, tables, manuscript. Commit and push. Tag as v2.0.",all output files,git tag v2.0,82,5,pending,,
84,8_continuous,8.1,Schedule automated re-run,"Set up the pipeline for the 8GB laptop: create a shell script that runs python run_pipeline.py --loop --interval 24 --max-days 7. Test it starts and runs correctly.",run_pipeline.py,run_autonomous.sh,80,10,pending,,
85,8_continuous,8.2,Create monitoring script,"Build a lightweight script that reads logs/ and reports: last collection time, records per source, screening results, any errors. Can be run via SSH to check status.",logs/,monitor.py,84,10,pending,,
86,8_continuous,8.3,Document the re-run process,"Write a guide for re-running every 6 months: update config.yaml date range, pip install -r requirements.txt, python run_pipeline.py --all. Expected duration and output.",README.md,RERUN_GUIDE.md in docs/,79,10,pending,,
87,9_research,9.1,Save source scout research findings,"Save the findings from the source-scout research agent into Bibliometric_v2/research/source_scout_report.md. Identify if any additional sources should be added.",source-scout agent output,research/source_scout_report.md,none,5,pending,,
88,9_research,9.2,Save literature precedent findings,"Save findings from lit-precedent agent into research/ai_screening_precedent.md. Extract key references for the methods section.",lit-precedent agent output,research/ai_screening_precedent.md,none,5,pending,,
89,9_research,9.3,Save script audit findings,"Save findings from script-auditor agent into research/script_audit_report.md. Identify any reusable code patterns from Bibliometric_2026.",script-auditor agent output,research/script_audit_report.md,none,5,pending,,
90,9_research,9.4,Save bibliometric methods findings,"Save findings from biblio-methods agent into research/bibliometric_methods.md. Extract formulas and code snippets for analysis scripts.",biblio-methods agent output,research/bibliometric_methods.md,none,5,pending,,
91,9_research,9.5,Save urology simulation findings,"Save findings from urology-research agent into research/urology_simulation_report.md. Extract key references for the urology section.",urology-research agent output,research/urology_simulation_report.md,none,5,pending,,
